 * Serving Flask app 'Backend_app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.0.4.122:5001
Press CTRL+C to quit
127.0.0.1 - - [22/Sep/2026 23:25:04] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:04] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:05] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:05] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:06] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:06] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:07] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:07] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:08] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:08] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:09] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:09] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:10] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:10] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:12] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:12] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:13] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:13] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:14] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:14] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:15] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:15] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:16] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:16] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:17] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:17] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:18] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:18] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:19] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:19] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:20] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:20] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:21] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
